Name,HighwayType,GeometryType,Lat,Lon,City
Cedar Crest Street,residential,LineString,43.413558716000004,-80.542434716,Kitchener
Sugar Maple Street,residential,LineString,43.41373777777777,-80.54403271851855,Kitchener
Homestead Place,residential,LineString,43.41798903529412,-80.53807244117647,Kitchener
Homestead Place,residential,LineString,43.41707406111111,-80.53714574999998,Kitchener
Thorncliffe Street,residential,LineString,43.41762304,-80.53888101999999,Kitchener
Meadow Woods Crescent,residential,LineString,43.418251250000004,-80.541788,Kitchener
Highview Place,residential,LineString,43.415994714285716,-80.54267397142858,Kitchener
Highview Place,residential,LineString,43.415444314285715,-80.54221225714284,Kitchener
Hickory Hollow Crescent,residential,LineString,43.41569211904762,-80.5443267095238,Kitchener
Willow Green Court,residential,LineString,43.416555300000006,-80.5462407125,Kitchener
Willow Green Court,residential,LineString,43.4166891368421,-80.54731826315789,Kitchener
Bent Willow Drive,residential,LineString,43.41655518750001,-80.54996490624998,Kitchener
Penelope Drive,residential,LineString,43.41857430625001,-80.55399870000001,Kitchener
Rauch Court,residential,LineString,43.42016947368421,-80.55672241052633,Kitchener
Rauch Court,residential,LineString,43.420769750000005,-80.55512035000001,Kitchener
Rauch Court,residential,LineString,43.42081735263159,-80.55420874210526,Kitchener
Cora Drive,residential,LineString,43.419115437500004,-80.556953825,Kitchener
Glasgow Street,unclassified,LineString,43.42892996590909,-80.5596115181818,Kitchener
Iron Gate Street,residential,LineString,43.43733131578947,-80.55553129473684,Kitchener
Lemon Grass Crescent,residential,LineString,43.43660428499999,-80.55592927499998,Kitchener
Countrystone Crescent,residential,LineString,43.43441001250001,-80.555222925,Kitchener
Sassafras Street,residential,LineString,43.43466793,-80.55496253999999,Kitchener
Beechmanor Crescent,residential,LineString,43.4374843875,-80.5511217375,Kitchener
Northmanor Crescent,residential,LineString,43.43908724117646,-80.54965406470588,Kitchener
Trelawney Street,residential,LineString,43.43613507777778,-80.53987956666667,Kitchener
Greengable Way,residential,LineString,43.43488899999999,-80.54293754230768,Kitchener
Lynnvalley Crescent,residential,LineString,43.436100499999995,-80.54370134000001,Kitchener
Lynnvalley Crescent,residential,LineString,43.436392819999995,-80.54145802000001,Kitchener
Lynnvalley Court,residential,LineString,43.436818,-80.54380123076923,Kitchener
Highgate Road,residential,LineString,43.43204958333333,-80.54965396666665,Kitchener
Ivy Lane Court,residential,LineString,43.427455695000006,-80.5494442,Kitchener
Lanark Court,residential,LineString,43.42479505,-80.53598740000001,Kitchener
Lanark Court,residential,LineString,43.42503613636364,-80.53620683636363,Kitchener
Ripley Crescent,residential,LineString,43.426348999999995,-80.53209986000002,Kitchener
Forest Glen Crescent,residential,LineString,43.421072134482756,-80.51871782413795,Kitchener
Glen Avon Crescent,residential,LineString,43.41894459230769,-80.51885384999999,Kitchener
Glen Lake Crescent,residential,LineString,43.41761451111111,-80.52233700555556,Kitchener
Glen Park Crescent,residential,LineString,43.417373267857144,-80.52543629642858,Kitchener
Meadowbrook Drive,residential,LineString,43.419521182352945,-80.52341330588237,Kitchener
Meadowlane Drive,residential,LineString,43.419049035294115,-80.52397004117648,Kitchener
Pinehurst Crescent,residential,LineString,43.42014793,-80.52181189333332,Kitchener
Newbury Drive,residential,LineString,43.42165240588235,-80.54913089117646,Kitchener
Uplands Drive,residential,LineString,43.423457121052635,-80.51520106315789,Kitchener
Buttonwood Drive,residential,LineString,43.4291228875,-80.51612915624999,Kitchener
Deerpark Crescent,residential,LineString,43.42864061428572,-80.51474135,Kitchener
Springbank Crescent,residential,LineString,43.43069423529411,-80.51154931764705,Kitchener
Graystone Avenue,residential,LineString,43.42919017142858,-80.50971255000002,Kitchener
Overlea Drive,residential,LineString,43.432556163888904,-80.5184117,Kitchener
Gatewood Road,residential,LineString,43.43193216190476,-80.50615398571429,Kitchener
Gilmour Crescent,residential,LineString,43.424366428571425,-80.50263657142857,Kitchener
Gilmour Crescent,residential,LineString,43.425371757142855,-80.50173844285715,Kitchener
Stonybrook Drive,residential,LineString,43.425758039583336,-80.50540800833335,Kitchener
Village Crescent,residential,LineString,43.42345805789474,-80.50973973157893,Kitchener
Ruskview Road,residential,LineString,43.42219647916667,-80.51213270416666,Kitchener
Sweetbriar Drive,residential,LineString,43.42300731666666,-80.50769494444444,Kitchener
Duncairn Avenue,residential,LineString,43.42339171,-80.50700288,Kitchener
King Street East,secondary,LineString,43.410630133333335,-80.39976596666666,Kitchener
Inwood Drive,residential,LineString,43.44656973,-80.52768599999999,Kitchener
Chopin Drive,residential,LineString,43.441667912499994,-80.5257882125,Kitchener
Talbot Street,residential,LineString,43.44399098461538,-80.51215642307692,Kitchener
Patricia Avenue,residential,LineString,43.4451261923077,-80.50985425384616,Kitchener
Cherry Street,residential,LineString,43.44679504,-80.50917002,Kitchener
Strange Street,residential,LineString,43.44618967777778,-80.50605727777777,Kitchener
Highland Road East,residential,LineString,43.42993282,-80.48696678,Kitchener
Hoffman Street,residential,LineString,43.43160076923076,-80.47827276923076,Kitchener
Walton Avenue,residential,LineString,43.42775803333333,-80.46604401666667,Kitchener
Boniface Avenue,residential,LineString,43.42894547647058,-80.46138350588235,Kitchener
Traynor Avenue,residential,LineString,43.426347099999994,-80.44566836666667,Kitchener
Erie Avenue,residential,LineString,43.427694224999996,-80.4623298,Kitchener
Massey Avenue,residential,LineString,43.42766117222223,-80.46141331111112,Kitchener
Carlin Avenue,residential,LineString,43.432212899999996,-80.4633374,Kitchener
Cornell Avenue,residential,LineString,43.433252048000014,-80.46335740399999,Kitchener
Doon Road,residential,LineString,43.437622266666665,-80.46255313333334,Kitchener
Franklin Street South,tertiary,LineString,43.428548983333336,-80.45186421666666,Kitchener
Franklin Street South,tertiary,LineString,43.43357113333334,-80.4486189,Kitchener
Franklin Street South,tertiary,LineString,43.434295739999996,-80.44799102,Kitchener
Weber Street East,secondary,LineString,43.43723823846154,-80.4552615923077,Kitchener
Weber Street East,secondary,LineString,43.430963199999994,-80.43775995,Kitchener
Sheldon Avenue South,residential,LineString,43.440232971428564,-80.46876302857142,Kitchener
Sydney Street South,residential,LineString,43.44047149285715,-80.47065851428572,Kitchener
Delta Street,path,LineString,43.43909060833334,-80.47015036666666,Kitchener
Spadina Road East,residential,LineString,43.438864575000004,-80.49329825,Kitchener
